api_number,well_name,latitude,longitude,orig_operator,current_operator,elevation,elev_ref,total_depth,formation_at_td,producing_form,permit_issued,spud_date,comp_date,status
15-093-21978-0001,CARRIE 15-1,38.0548589,-101.1445637,"Merit Energy Company, LLC","Merit Energy Company, LLC",3033, KB,5000,,,,8-Jan-22,14-Jan-22,OIL
15-055-22540-0001,MCWILLIAMS E 10,37.9490586,-100.9513901,"Merit Energy Company, LLC","Merit Energy Company, LLC",2928, KB,5060,,,,18-Jan-22,26-Jan-22,OIL
15-135-26144,OLYMPUS 1,38.361184,-100.1136972,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2539, KB,4607,MISSISSIPPIAN,MISSISSIPPIAN,30-Dec-21,8-Jan-22,27-Jan-22,OIL
15-145-21869,BATCHMAN A 4,38.3338134,-99.5713244,"Mar-Lou Oil Co., LLC","Mar-Lou Oil Co., LLC",2231, KB,4378,,,29-Dec-21,21-Jan-22,27-Jan-22,D&A
15-009-26331,AMES UNIT 16,38.4503107,-98.5135623,RJM Company,RJM Company,1774, KB,3336,ARBUCKLE,ARBUCKLE,4-Jan-22,11-Jan-22,7-Feb-22,OIL
15-121-31669,KERN 17,38.6555874,-94.7948875,"Somerset Energy Enterprises, LLC","Somerset Energy Enterprises, LLC",1060, KB,760,,,4-Jan-22,28-Jan-22,31-Jan-22,OIL
15-071-20897,MILLER 9C SWD,38.3262718,-101.6300712,Brooks Range Corporation,Brooks Range Corporation,3531, KB,6280,ARBUCKLE,ARBUCKLE,12-Nov-21,5-Jan-22,26-Feb-22,SWD
15-121-31664,WARD 5,38.6633786,-94.7946694,"TDR Construction, Inc.","TDR Construction, Inc.",1084, KB,820,,,4-Nov-21,10-Jan-22,15-Jan-22,OIL
15-075-20907,SIMON #1-18,37.8814925,-101.7569144,Plateau Operating Corporation,Plateau Operating Corporation,3484, KB,2670,CHASE,MORROW,1-Oct-21,24-Jan-22,30-Jan-22,GAS
15-167-24116,MICHAELIS 5,38.7873111,-98.777016,"Vonfeldt, Alan J","Vonfeldt, Alan J",1710, KB,3115,LANSING-KANSAS CITY,,14-Jan-22,17-Jan-22,18-Feb-22,OIL
15-083-21999,TAKE IT EASY 1,38.1223227,-99.8282148,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2315, KB,4664,MISSISSIPPIAN,MISSISSIPPIAN,14-Jan-22,24-Jan-22,15-Mar-22,OIL
15-035-24750,JONES 1 1B,37.1342387,-96.8119278,"Raney Oil Company, LLC","Raney Oil Company, LLC",1207, KB,3277,,,9-Nov-21,12-Jan-22,30-Jan-22,OIL
15-135-26145,A NEW HOPE 1,38.6065919,-99.9956134,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2460, KB,4575,MISSISSIPPIAN,MISSISSIPPIAN,5-Jan-22,18-Jan-22,25-Jan-22,D&A
15-151-22539,ANDREA #1,37.4857807,-98.9881542,"Griffin, Charles N.","Griffin, Charles N.",2032, KB,4862,SIMPSON,,5-Jan-22,12-Jan-22,25-Jan-22,OIL
15-135-26141,BORGER 'I' 1,38.3747251,-99.706175,"Pickrell Drilling Company, Inc.","Pickrell Drilling Company, Inc.",2287, KB,4500,MISSISSIPPIAN,MISSISSIPPIAN,21-Dec-21,17-Jan-22,24-Jan-22,D&A
15-081-21890-0001,STEVENS C 3,37.4430453,-100.7772121,"Merit Energy Company, LLC","Merit Energy Company, LLC",2875, KB,5755,,,,31-Jan-22,4-Feb-22,O&G
